CaseID,ClientID,CaseTitle,Status,CourtDate,LawyerID
101,54,Case 101 - vs Lyons Group,Closed,2026-08-01,213
102,55,Case 102 - Filing against Landry-Wall,Open,2025-01-16,203
103,73,Case 103 - vs Garcia-Lopez,Pending,2024-02-08,241
104,100,"Case 104 - Filing against Nash, Bradford and Stephens",Closed,2024-09-20,245
105,39,Case 105 - vs Parsons-Mccoy,Closed,2025-04-18,233
106,159,Case 106 - Dispute with Reed Group,Pending,2026-01-28,245
107,232,Case 107 - vs Kaiser-Bowman,Open,2025-12-07,245
108,4,"Case 108 - vs Chapman, Harrington and Solomon",Pending,2025-12-24,245
109,63,Case 109 - Filing against Thomas Ltd,Closed,2026-09-07,212
110,142,Case 110 - vs Manning-Moore,Pending,2026-04-30,206
111,227,"Case 111 - vs Peters, Lindsey and Delacruz",Closed,2024-12-02,224
112,159,Case 112 - Dispute with Henderson Ltd,Pending,2024-11-23,208
113,222,Case 113 - Dispute with Santos-Grant,Pending,2024-11-17,249
114,52,"Case 114 - Filing against Herrera, Scott and Fox",Closed,2025-02-05,226
115,107,Case 115 - Filing against Lewis LLC,Closed,2025-12-08,217
116,73,Case 116 - vs Meyer Ltd,Closed,2026-07-01,239
117,192,Case 117 - Dispute with Hansen-Miller,Pending,2025-10-30,233
118,50,Case 118 - vs Tran-Lawrence,Open,2023-10-05,231
119,78,"Case 119 - Dispute with Cooper, Foster and Bass",Pending,2025-02-21,215
120,240,"Case 120 - Filing against King, Kelly and Crawford",Closed,2025-01-03,225
121,79,"Case 121 - vs Leach, White and Andrews",Open,2024-11-12,217
122,45,Case 122 - vs Bridges-Boyd,Pending,2025-07-04,237
123,69,Case 123 - Filing against Bryant-Holloway,Open,2023-10-24,234
124,164,Case 124 - Dispute with Lambert-Reynolds,Closed,2024-09-05,249
125,149,"Case 125 - vs Taylor, Burgess and Andrews",Open,2026-08-27,206
126,150,"Case 126 - vs Berry, Drake and Morales",Closed,2024-05-13,216
127,208,"Case 127 - Filing against Collins, Christian and Santana",Open,2024-11-28,242
128,95,Case 128 - vs Johnson Group,Open,2025-01-05,207
129,27,"Case 129 - Filing against Hudson, Hawkins and Schmitt",Open,2024-07-21,250
130,40,"Case 130 - Dispute with Reeves, Graham and Smith",Open,2025-04-29,245
131,230,"Case 131 - vs Hicks, Rogers and Ford",Closed,2024-12-14,222
132,180,Case 132 - Dispute with Lee-Velasquez,Closed,2025-08-03,238
133,150,Case 133 - vs Mcknight-Fernandez,Open,2025-04-05,243
134,2,"Case 134 - vs Patterson, Hunter and Hodge",Open,2026-03-17,221
135,87,"Case 135 - Filing against Sherman, Schneider and Jones",Pending,2026-07-07,231
